No.,Symbol,Company Name,Stock Price,% Change,Volume,Market Cap
333,GFAI,"Guardforce AI Co., Limited",1.25,-1.57%,"992,841",12.80M
334,NRGV,"Energy Vault Holdings, Inc.",1.84,-3.16%,"988,161",279.90M
335,TWG,Top Wealth Group Holding Limited,0.23,-7.79%,"988,017",6.53M
336,CMCT,Creative Media & Community Trust Corporation,0.20,-3.34%,"986,374",17.33M
337,MOB,Mobilicom Limited,3.38,16.15%,"983,892",21.47M
338,AQST,"Aquestive Therapeutics, Inc.",3.61,-2.17%,"980,213",329.15M
339,NUVB,Nuvation Bio Inc.,2.61,-0.76%,"970,970",878.44M
340,AMPS,"Altus Power, Inc.",3.80,1.88%,"967,323",608.00M
341,OMEX,"Odyssey Marine Exploration, Inc.",0.35,-5.38%,"962,598",7.61M
342,EDBL,Edible Garden AG Incorporated,0.16,-1.25%,"954,214",2.98M
343,HYLN,Hyliion Holdings Corp.,3.00,-0.33%,"948,286",521.20M
344,GLDG,GoldMining Inc.,0.85,-2.62%,"948,235",165.46M
345,BLRX,BioLineRx Ltd.,0.22,-0.04%,"946,971",21.98M
346,CNDT,Conduent Incorporated,4.21,-2.55%,"943,352",673.14M
347,IPSC,"Century Therapeutics, Inc.",1.22,-2.40%,"935,168",103.74M
348,LDI,"loanDepot, Inc.",2.07,-1.43%,"932,021",676.89M
349,BW,"Babcock & Wilcox Enterprises, Inc.",1.86,2.76%,"926,415",175.43M
350,MRNS,"Marinus Pharmaceuticals, Inc.",0.26,-3.45%,"920,826",14.50M
351,UP,Wheels Up Experience Inc.,2.10,0.96%,"920,474",1.47B
352,TTI,"TETRA Technologies, Inc.",3.68,-1.87%,"919,053",485.06M
353,SIDU,"Sidus Space, Inc.",1.43,9.16%,"918,512",5.98M
354,LICY,Li-Cycle Holdings Corp.,1.64,-5.20%,"917,333",45.11M
355,ATAI,Atai Life Sciences N.V.,1.36,-2.16%,"912,042",228.21M
356,CGBS,Crown LNG Holdings Limited,0.32,5.68%,"909,089",22.42M
357,UPLD,"Upland Software, Inc.",4.12,-13.08%,"907,441",113.06M
358,LANV,Lanvin Group Holdings Limited,1.93,13.20%,"906,797",226.43M
359,PYXS,"Pyxis Oncology, Inc.",1.62,6.58%,"904,922",96.33M
360,SPAI,Safe Pro Group Inc.,4.46,37.65%,"904,629",61.37M
361,ZNTL,"Zentalis Pharmaceuticals, Inc.",3.09,-1.28%,"901,726",220.21M
362,GALT,Galectin Therapeutics Inc.,2.11,6.03%,"901,326",132.43M
363,MRSN,"Mersana Therapeutics, Inc.",2.15,-6.52%,"886,739",265.60M
364,NINE,"Nine Energy Service, Inc.",1.12,-1.75%,"882,585",47.45M
365,EXFY,"Expensify, Inc.",3.87,-3.73%,"880,959",344.29M
366,GROY,Gold Royalty Corp.,1.25,-1.57%,"875,292",211.64M
367,ELEV,"Elevation Oncology, Inc.",0.64,-5.00%,"867,096",37.61M
368,IVP,"Inspire Veterinary Partners, Inc.",0.18,-8.45%,"864,131",5.18M
369,REI,"Ring Energy, Inc.",1.39,-1.42%,"861,477",275.49M
370,LEV,The Lion Electric Company,0.33,-1.94%,"860,384",75.48M
371,DADA,Dada Nexus Limited,1.43,-2.72%,"855,555",371.52M
372,CERS,Cerus Corporation,1.71,-3.93%,"850,499",317.57M
373,TVGN,Tevogen Bio Holdings Inc.,1.00,-0.99%,"847,854",175.05M
374,LPTH,"LightPath Technologies, Inc.",2.23,14.95%,"843,723",88.45M
375,RLMD,"Relmada Therapeutics, Inc.",0.37,-0.81%,"841,671",11.07M
376,CXAI,CXApp Inc.,1.69,-5.06%,"838,942",27.82M
377,DHC,Diversified Healthcare Trust,2.44,0.41%,"837,661",588.71M
378,CGTX,"Cognition Therapeutics, Inc.",0.48,-6.02%,"837,204",19.86M
379,CTV,Innovid Corp.,3.06,-,"831,764",454.60M
380,ASM,Avino Silver & Gold Mines Ltd.,1.06,-3.64%,"827,666",148.00M
381,BRY,Berry Corporation,4.13,-2.82%,"827,663",317.76M
382,PSNL,"Personalis, Inc.",3.82,6.70%,"807,838",269.88M
383,APVO,Aptevo Therapeutics Inc.,4.09,-27.35%,"804,941",2.05M
384,INZY,"Inozyme Pharma, Inc.",3.03,1.68%,"804,477",194.65M
385,RENB,Renovaro Inc.,1.76,2.33%,"801,555",279.34M
386,HTOO,Fusion Fuel Green PLC,0.45,-5.63%,"798,922",7.87M
387,YTRA,"Yatra Online, Inc.",1.40,-2.10%,"798,565",81.86M
388,CPHI,"China Pharma Holdings, Inc.",0.18,-4.58%,"796,109",3.41M
389,DBGI,"Digital Brands Group, Inc.",3.69,-4.16%,"795,988",2.85M
390,SATL,Satellogic Inc.,3.51,0.43%,"794,401",319.32M
391,ALXO,ALX Oncology Holdings Inc.,1.45,2.11%,"792,363",76.48M
392,PET,Wag! Group Co.,0.22,-3.00%,"791,598",11.11M
393,ACRS,"Aclaris Therapeutics, Inc.",3.22,-1.53%,"788,174",344.50M
394,OTLK,"Outlook Therapeutics, Inc.",1.48,-3.90%,"786,563",35.01M
395,SLRN,"Acelyrin, Inc.",3.23,-8.76%,"785,676",324.05M
396,VERU,Veru Inc.,0.72,-2.97%,"775,732",105.79M
397,XAIR,"Beyond Air, Inc.",0.47,-4.56%,"771,741",33.57M
398,TBLA,Taboola.com Ltd.,4.01,-0.25%,"765,209",1.35B
399,FSP,Franklin Street Properties Corp.,2.01,6.35%,"762,147",208.17M
400,PRQR,ProQR Therapeutics N.V.,2.83,-13.98%,"757,581",292.07M
401,ASAI,Sendas Distribuidora S.A.,4.81,-5.32%,"757,563",1.28B
402,VMAR,Vision Marine Technologies Inc.,1.45,-15.20%,"756,352",2.27M
403,SRFM,Surf Air Mobility Inc.,4.00,4.71%,"752,359",62.03M
404,NXL,"Nexalin Technology, Inc.",3.96,-4.81%,"735,514",50.93M
405,CURV,Torrid Holdings Inc.,4.45,5.45%,"733,823",466.17M
406,CIK,"Credit Suisse Asset Management Income Fund, Inc.",2.98,0.34%,"729,877",158.21M
407,IVVD,"Invivyd, Inc.",0.55,-5.67%,"729,082",65.43M
408,CCO,"Clear Channel Outdoor Holdings, Inc.",1.50,-,"727,816",733.62M
409,PLBY,"PLBY Group, Inc.",1.41,-10.19%,"726,547",126.32M
410,ALUR,Allurion Technologies Inc.,0.35,0.09%,"726,188",27.27M
411,BDTX,"Black Diamond Therapeutics, Inc.",2.56,2.40%,"724,644",144.86M
412,VIRX,"Viracta Therapeutics, Inc.",0.20,6.80%,"719,285",8.06M
413,VFS,VinFast Auto Ltd.,4.49,0.22%,"717,642",10.50B
414,WNW,Meiwu Technology Company Limited,1.61,12.59%,"714,821",53.71M
415,LUCD,Lucid Diagnostics Inc.,0.79,1.47%,"704,837",43.55M
416,TCRX,"TScan Therapeutics, Inc.",2.85,-5.63%,"704,742",161.04M
417,FOSL,"Fossil Group, Inc.",1.99,5.85%,"702,606",105.86M
418,SACH,Sachem Capital Corp.,1.31,-5.07%,"701,342",61.52M
419,ACET,"Adicet Bio, Inc.",0.96,-0.99%,"699,201",79.50M
420,VINC,"Vincerx Pharma, Inc.",0.19,3.24%,"692,227",6.41M
421,TGL,Treasure Global Inc.,0.19,3.50%,"685,301",2.14M
422,OSUR,"OraSure Technologies, Inc.",3.91,-4.17%,"685,196",291.66M
423,PAVS,Paranovus Entertainment Technology Ltd.,1.12,19.95%,"685,016",75.42M
424,RANI,"Rani Therapeutics Holdings, Inc.",1.66,-4.60%,"682,942",95.33M
425,SMRT,"SmartRent, Inc.",1.83,-1.61%,"680,242",352.40M
426,BPT,BP Prudhoe Bay Royalty Trust,0.69,0.75%,"679,493",14.66M
427,TRX,TRX Gold Corporation,0.34,-1.08%,"673,151",94.47M
428,BSLK,"Bolt Projects Holdings, Inc.",0.39,-5.10%,"669,662",12.58M
429,AMLX,"Amylyx Pharmaceuticals, Inc.",4.12,-6.58%,"665,568",280.50M
430,DSX,Diana Shipping Inc.,1.85,-,"660,299",220.31M
431,BIOA,"BioAge Labs, Inc.",4.28,-6.75%,"653,980",153.43M
432,ANY,Sphere 3D Corp.,1.22,-1.61%,"652,325",25.91M
433,BNAI,"Brand Engagement Network, Inc.",0.79,-8.90%,"645,073",30.09M
434,GDRX,"GoodRx Holdings, Inc.",4.71,0.21%,"643,741",1.81B
435,OM,"Outset Medical, Inc.",1.11,-8.26%,"639,109",58.32M
436,JAGX,"Jaguar Health, Inc.",0.97,-0.59%,"634,790",11.44M
437,GLYC,"GlycoMimetics, Inc.",0.24,-3.20%,"627,113",15.40M
438,CTM,"Castellum, Inc.",0.26,-8.68%,"625,787",14.82M
439,UNCY,"Unicycive Therapeutics, Inc.",0.71,-3.45%,"625,037",74.16M
440,MIGI,Mawson Infrastructure Group Inc.,1.24,-4.62%,"624,271",23.20M
441,WBX,Wallbox N.V.,0.51,-7.29%,"623,534",129.40M
442,PRZO,ParaZero Technologies Ltd.,1.37,1.48%,"622,692",15.29M
443,EGY,"VAALCO Energy, Inc.",4.96,0.40%,"622,045",514.57M
444,BRCC,BRC Inc.,3.03,-2.57%,"620,230",644.61M
445,ECX,ECARX Holdings Inc.,1.98,0.51%,"617,944",679.40M
446,PEV,Phoenix Motor Inc.,0.31,-5.52%,"614,710",11.61M
447,GGR,Gogoro Inc.,0.60,-5.88%,"613,395",166.94M
448,CTMX,"CytomX Therapeutics, Inc.",1.11,-0.89%,"611,547",86.87M
449,HOUS,Anywhere Real Estate Inc.,4.25,-4.49%,"606,492",472.86M
450,SKYX,SKYX Platforms Corp.,1.09,6.86%,"606,413",111.73M
451,POWW,"AMMO, Inc.",1.05,-,"604,372",124.69M
452,GRWG,GrowGeneration Corp.,1.73,-3.89%,"603,031",102.49M
453,CRVO,CervoMed Inc.,1.90,-1.55%,"601,324",15.68M
454,AMTX,"Aemetis, Inc.",3.01,-1.31%,"597,162",149.70M
455,REKR,"Rekor Systems, Inc.",0.85,0.60%,"593,972",79.28M
456,CDLX,"Cardlytics, Inc.",3.73,4.19%,"589,865",189.57M
457,NCV,Virtus Convertible & Income Fund,3.61,0.56%,"588,165",326.25M
458,SPRB,"Spruce Biosciences, Inc.",0.38,-1.01%,"586,955",15.83M
459,STI,Solidion Technology Inc.,0.41,0.74%,"586,747",50.53M
460,RDZN,"Roadzen, Inc.",1.78,4.71%,"585,060",121.82M
461,MTEM,"Molecular Templates, Inc.",0.40,-0.99%,"584,972",2.63M
462,ACCD,"Accolade, Inc.",3.49,0.29%,"582,709",281.07M
463,ADTX,"Aditxt, Inc.",0.35,1.55%,"581,580",4.96M
464,CARM,"Carisma Therapeutics, Inc.",0.40,-16.54%,"578,400",16.90M
465,DDL,Dingdong (Cayman) Limited,4.03,-4.73%,"578,197",875.80M
466,SPRC,SciSparc Ltd.,0.27,6.35%,"575,347",972.55K
467,STXS,"Stereotaxis, Inc.",2.34,6.85%,"570,226",198.27M
468,WBUY,Webuy Global Ltd,0.18,-1.40%,"563,069",10.81M
469,ABUS,Arbutus Biopharma Corporation,3.48,-2.25%,"562,784",659.43M
470,QD,Qudian Inc.,2.81,-4.75%,"562,118",532.22M
471,MIST,Milestone Pharmaceuticals Inc.,1.80,-3.23%,"561,665",119.23M
472,IHS,IHS Holding Limited,3.24,-0.61%,"556,959",1.08B
473,OGI,Organigram Holdings Inc.,1.48,-1.99%,"556,786",186.09M
474,NFGC,New Found Gold Corp.,1.62,-2.99%,"556,574",321.35M
475,CVGI,"Commercial Vehicle Group, Inc.",2.53,6.30%,"556,449",81.85M
476,ARAY,Accuray Incorporated,1.92,-,"554,923",193.08M
477,VVR,Invesco Senior Income Trust,4.06,0.50%,"554,146",622.21M
478,PDSB,PDS Biotechnology Corporation,1.84,-3.16%,"552,737",68.83M
479,SKIN,The Beauty Health Company,1.58,4.64%,"550,991",196.11M
480,REVB,"Revelation Biosciences, Inc.",0.36,-12.75%,"546,993",1.55M
481,BTM,Bitcoin Depot Inc.,1.95,1.56%,"545,341",115.66M
482,DCGO,DocGo Inc.,4.29,2.39%,"540,844",437.80M
483,USAS,Americas Gold and Silver Corporation,0.40,2.33%,"540,509",115.48M
484,HIX,Western Asset High Income Fund II Inc.,4.44,-0.45%,"539,947",399.76M
485,VRCA,Verrica Pharmaceuticals Inc.,0.76,-5.20%,"538,842",68.91M
486,ORGO,Organogenesis Holdings Inc.,3.40,-3.68%,"533,049",450.76M
487,CMPS,COMPASS Pathways plc,4.22,-4.31%,"530,429",288.74M
488,VSTM,"Verastem, Inc.",4.48,-0.44%,"529,854",199.39M
489,ARBK,Argo Blockchain plc,0.73,-4.79%,"529,027",46.48M
490,SRM,"SRM Entertainment, Inc.",0.71,-4.05%,"528,943",9.85M
491,TIVC,"Tivic Health Systems, Inc.",0.22,-3.40%,"528,417",1.81M
492,SB,"Safe Bulkers, Inc.",3.68,-2.13%,"525,367",392.94M
493,RZLT,"Rezolute, Inc.",4.59,-1.08%,"522,750",265.96M
494,TDUP,ThredUp Inc.,1.49,-4.79%,"517,105",169.50M
495,MOBX,"Mobix Labs, Inc.",1.15,-5.74%,"514,161",35.18M
496,ACB,Aurora Cannabis Inc.,4.31,0.94%,"511,001",236.91M
497,PLG,Platinum Group Metals Ltd.,1.37,-4.20%,"507,366",142.82M
498,BFRI,Biofrontera Inc.,1.06,-,"505,875",8.21M
499,HITI,High Tide Inc.,3.19,1.59%,"504,597",256.14M
500,OPI,Office Properties Income Trust,1.33,-0.75%,"503,763",74.19M
